Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Price,Duration_in_minute
Vistara,2019-05-15,Delhi,Cochin,06:00:00,09:10:00,0,6216,190
SpiceJet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,1,5726,270
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1,15554,1325
Multiple carriers,2019-06-27,Delhi,Cochin,18:00:00,01:30:00,1,7198,450
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,0,8016,180
IndiGo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,1,7205,370
SpiceJet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,0,2175,90
Air India,2019-06-06,Kolkata,Banglore,16:45:00,21:05:00,1,7662,1700
IndiGo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,1,6442,835
IndiGo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,1,11378,305
Air India,2019-04-06,Banglore,Delhi,10:00:00,12:45:00,0,5176,165
IndiGo,2019-03-01,Banglore,Delhi,16:15:00,20:35:00,1,7917,260
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,0,3210,90
IndiGo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,1,14871,635
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,2,12723,875
SpiceJet,2019-04-24,Banglore,Delhi,21:10:00,00:05:00,0,3573,175
Multiple carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,1,17267,835
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,10:55:00,1,14151,1075
Multiple carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,1,7408,780
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,1,15554,600
IndiGo,2019-03-03,Delhi,Cochin,06:40:00,13:20:00,1,14871,400
Jet Airways,2019-06-09,Delhi,Cochin,18:25:00,12:35:00,2,14237,1090
Vistara,2019-04-12,Banglore,Delhi,09:45:00,12:35:00,0,5403,170
Multiple carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,1,7354,755
IndiGo,2019-05-09,Delhi,Cochin,07:35:00,12:10:00,1,5054,275
IndiGo,2019-05-06,Mumbai,Hyderabad,02:35:00,04:05:00,0,3342,90
Multiple carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,1,13587,660
IndiGo,2019-04-18,Delhi,Cochin,05:35:00,08:50:00,0,6015,195
Jet Airways,2019-03-01,Banglore,Delhi,14:05:00,07:40:00,1,22270,1055
Multiple carriers,2019-06-24,Delhi,Cochin,07:10:00,22:30:00,1,6723,920
SpiceJet,2019-05-18,Mumbai,Hyderabad,22:45:00,00:15:00,0,1965,90
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1,16079,1620
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,21:20:00,1,17471,1435
Multiple carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,1,12537,665
Air India,2019-05-24,Kolkata,Banglore,20:45:00,23:20:00,0,4145,155
Multiple carriers,2019-05-18,Delhi,Cochin,06:00:00,19:15:00,1,8476,795
IndiGo,2019-05-09,Kolkata,Banglore,21:25:00,00:05:00,0,4804,160
Vistara,2019-05-21,Chennai,Kolkata,07:05:00,09:20:00,0,3687,135
Air India,2019-05-21,Delhi,Cochin,12:00:00,07:40:00,2,9653,1180
Air India,2019-03-01,Banglore,Delhi,00:30:00,23:55:00,1,12599,1405
SpiceJet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,0,2647,90
Jet Airways,2019-06-18,Mumbai,Hyderabad,02:55:00,04:20:00,0,4995,85
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,04:25:00,1,14053,550
IndiGo,2019-03-15,Chennai,Kolkata,19:35:00,21:55:00,0,6297,140
Multiple carriers,2019-06-01,Delhi,Cochin,14:00:00,01:30:00,1,13377,690
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,10:05:00,1,8586,1055
SpiceJet,2019-06-03,Kolkata,Banglore,17:10:00,19:40:00,0,3873,150
Jet Airways,2019-03-09,Banglore,Delhi,08:00:00,09:30:00,1,11087,1530
SpiceJet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,0,3597,135
Multiple carriers,2019-05-18,Delhi,Cochin,12:50:00,01:30:00,1,7670,760
Air India,2019-05-15,Delhi,Cochin,09:45:00,09:25:00,1,7480,1420
Multiple carriers,2019-05-21,Delhi,Cochin,04:55:00,19:15:00,1,7575,860
SpiceJet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,0,3597,135
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2,12723,2065
Air India,2019-05-24,Delhi,Cochin,07:00:00,19:15:00,1,9929,735
Air India,2019-03-01,Banglore,Delhi,06:10:00,08:55:00,0,15676,165
IndiGo,2019-03-21,Delhi,Cochin,08:35:00,16:10:00,1,6790,455
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,2,15129,1615
IndiGo,2019-04-21,Delhi,Cochin,05:10:00,10:05:00,1,7074,295
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,12:35:00,2,15129,810
Jet Airways,2019-03-18,Banglore,Delhi,22:50:00,05:05:00,1,54826,375
IndiGo,2019-04-03,Banglore,Delhi,06:05:00,08:50:00,0,4077,165
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,22:05:00,1,11467,1745
SpiceJet,2019-03-24,Banglore,Delhi,05:45:00,08:35:00,0,4377,170
Air India,2019-05-09,Kolkata,Banglore,14:35:00,14:35:00,1,6528,1440
IndiGo,2019-03-21,Kolkata,Banglore,05:30:00,08:20:00,0,4148,170
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,09:05:00,1,8137,965
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,16:20:00,1,10844,475
IndiGo,2019-06-06,Kolkata,Banglore,10:30:00,16:05:00,1,6301,335
IndiGo,2019-05-15,Kolkata,Banglore,14:25:00,16:55:00,0,5224,150
Air India,2019-05-18,Kolkata,Banglore,10:00:00,05:25:00,2,14109,1165
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,2,12273,1325
IndiGo,2019-03-21,Delhi,Cochin,06:40:00,13:20:00,1,10208,400
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,1,12373,715
SpiceJet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,0,2017,90
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,1,10661,890
IndiGo,2019-03-03,Banglore,Delhi,10:05:00,13:00:00,0,7648,175
Air India,2019-06-03,Banglore,Delhi,10:00:00,12:45:00,0,6961,165
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1,14571,1265
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,1,8586,520
Multiple carriers,2019-06-03,Delhi,Cochin,13:15:00,22:30:00,1,9646,555
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,16:20:00,1,13044,1430
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,19:00:00,1,14714,1395
Air India,2019-06-01,Delhi,Cochin,10:00:00,19:15:00,1,9929,555
Air India,2019-05-12,Banglore,Delhi,10:00:00,12:45:00,0,5228,165
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,10:55:00,1,11467,1520
IndiGo,2019-04-18,Banglore,Delhi,21:15:00,00:15:00,0,4591,180
IndiGo,2019-04-09,Delhi,Cochin,09:15:00,01:30:00,1,6573,975
Air India,2019-04-12,Banglore,Delhi,13:20:00,16:10:00,0,5911,170
Multiple carriers,2019-03-09,Delhi,Cochin,08:40:00,19:45:00,1,18492,665
IndiGo,2019-05-27,Delhi,Cochin,08:35:00,16:10:00,1,6442,455
SpiceJet,2019-05-24,Kolkata,Banglore,11:15:00,18:30:00,1,9630,435
IndiGo,2019-05-18,Banglore,Delhi,10:30:00,13:20:00,0,3943,170
Air India,2019-03-12,Banglore,Delhi,17:25:00,18:05:00,3,13387,1480
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,22:35:00,1,14781,510
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,0,4256,195
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,1,12384,800
IndiGo,2019-03-09,Banglore,Delhi,05:30:00,08:20:00,0,4777,170
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,09:30:00,1,17261,725
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,1,14714,620
IndiGo,2019-05-03,Banglore,Delhi,10:10:00,13:00:00,0,3943,170
Air India,2019-03-06,Mumbai,Hyderabad,05:30:00,22:00:00,2,9678,990
Multiple carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,1,11789,690
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,09:20:00,1,8529,1010
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50:00,0,4995,90
IndiGo,2019-04-27,Banglore,Delhi,07:10:00,10:05:00,0,4823,175
Air Asia,2019-03-27,Kolkata,Banglore,19:35:00,22:05:00,0,3782,150
Jet Airways,2019-06-21,Mumbai,Hyderabad,07:05:00,08:30:00,0,8040,85
Air India,2019-06-09,Kolkata,Banglore,10:00:00,05:25:00,2,12744,1165
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,04:25:00,1,10262,805
Air India,2019-04-24,Banglore,Delhi,17:00:00,19:45:00,0,6121,165
Multiple carriers,2019-06-09,Delhi,Cochin,19:00:00,01:30:00,1,7530,390
GoAir,2019-05-06,Banglore,Delhi,20:55:00,23:40:00,0,3419,165
IndiGo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,0,4804,155
Jet Airways,2019-04-09,Banglore,Delhi,18:55:00,22:00:00,0,7229,185
IndiGo,2019-05-24,Delhi,Cochin,10:35:00,01:30:00,1,7081,895
SpiceJet,2019-06-12,Banglore,Delhi,09:30:00,12:20:00,0,4423,170
Jet Airways,2019-03-12,Banglore,Delhi,16:55:00,23:00:00,1,11087,365
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,19:10:00,1,14151,1365
Multiple carriers,2019-06-01,Delhi,Cochin,04:55:00,19:15:00,1,8835,860
Jet Airways,2019-04-15,Banglore,Delhi,06:00:00,08:45:00,0,7229,165
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,10:45:00,1,8452,865
Multiple carriers,2019-06-09,Delhi,Cochin,09:45:00,16:10:00,1,9646,385
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,09:20:00,1,14571,800
Jet Airways,2019-03-21,Banglore,Delhi,19:55:00,22:35:00,0,7229,160
Multiple carriers,2019-06-12,Delhi,Cochin,07:30:00,19:15:00,1,7354,705
IndiGo,2019-06-09,Delhi,Cochin,08:30:00,21:00:00,1,6838,750
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,04:25:00,1,12898,805
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,09:45:00,1,12692,1005
IndiGo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,1,8784,860
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,2,11992,1140
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,1,5998,875
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1,13044,1285
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,12:35:00,1,12898,1355
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,2,15129,1390
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,20:20:00,1,8610,790
Multiple carriers,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,1,14067,480
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,2,10697,810
IndiGo,2019-05-21,Delhi,Cochin,05:05:00,12:10:00,1,6818,425
IndiGo,2019-06-27,Banglore,Delhi,08:30:00,11:20:00,0,4823,170
Multiple carriers,2019-03-21,Delhi,Cochin,10:00:00,19:15:00,1,8401,555
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,1,16079,360
Air India,2019-03-27,Delhi,Cochin,13:30:00,08:15:00,1,6681,1125
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,1,10262,940
Jet Airways,2019-04-21,Banglore,Delhi,19:50:00,22:50:00,0,4544,180
SpiceJet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,0,3859,135
Air India,2019-03-24,Banglore,Delhi,10:00:00,12:45:00,0,7276,165
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,2,9296,1325
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1,8586,1215
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,2,10919,1300
GoAir,2019-06-21,Banglore,Delhi,20:55:00,23:40:00,0,3898,165
Jet Airways,2019-03-06,Mumbai,Hyderabad,13:05:00,16:50:00,2,21375,1665
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,0,8016,175
Multiple carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,1,14343,515
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,1,16666,905
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,1,9212,455
IndiGo,2019-03-21,Banglore,Delhi,01:30:00,04:15:00,0,4777,165
Jet Airways,2019-05-24,Delhi,Cochin,11:40:00,19:00:00,2,21219,440
Multiple carriers,2019-05-09,Delhi,Cochin,18:15:00,01:30:00,1,15078,435
SpiceJet,2019-03-18,Banglore,Delhi,20:30:00,23:20:00,0,4273,170
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,1,8586,735
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,04:40:00,1,13731,450
IndiGo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,1,5883,480
Multiple carriers,2019-06-09,Delhi,Cochin,07:05:00,22:30:00,1,9646,925
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,04:25:00,2,12647,1375
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1,8586,1090
IndiGo,2019-03-27,Delhi,Cochin,11:30:00,01:35:00,1,6206,845
SpiceJet,2019-06-15,Kolkata,Banglore,09:00:00,11:25:00,0,3841,145
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,10:05:00,1,13584,910
Vistara,2019-03-24,Banglore,Delhi,12:00:00,14:40:00,0,7608,160
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1,14714,1015
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,20:45:00,1,14781,855
Air India,2019-03-12,Banglore,Delhi,07:30:00,11:05:00,2,11602,1655
Air India,2019-05-06,Kolkata,Banglore,05:50:00,08:55:00,2,10991,1625
Air India,2019-05-15,Delhi,Cochin,12:30:00,09:25:00,1,7480,1255
IndiGo,2019-05-15,Kolkata,Banglore,21:00:00,02:15:00,1,7228,315
Multiple carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,1,11789,520
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,04:40:00,1,14781,520
Air India,2019-03-24,Kolkata,Banglore,05:40:00,14:35:00,2,11522,1975
Multiple carriers,2019-05-27,Delhi,Cochin,10:20:00,21:00:00,1,7005,640
Jet Airways,2019-05-01,Delhi,Cochin,23:05:00,19:00:00,2,15129,1195
IndiGo,2019-05-18,Chennai,Kolkata,11:35:00,14:00:00,0,4332,145
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,12:00:00,1,9663,890
Air India,2019-06-15,Kolkata,Banglore,14:15:00,16:45:00,0,5510,150
Air India,2019-05-21,Kolkata,Banglore,08:20:00,20:25:00,2,12324,725
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,1,12373,300
Air India,2019-06-27,Delhi,Cochin,10:55:00,19:15:00,2,11753,500
Jet Airways,2019-03-21,Banglore,Delhi,08:00:00,23:00:00,1,7832,900
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,2,10368,1615
IndiGo,2019-06-18,Mumbai,Hyderabad,02:35:00,04:05:00,0,2754,90
Multiple carriers,2019-05-15,Delhi,Cochin,07:30:00,21:00:00,1,8405,810
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,12:35:00,1,12898,1100
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,04:25:00,1,12898,1570
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1,10031,1410
Multiple carriers,2019-05-27,Delhi,Cochin,14:55:00,22:30:00,1,7038,455
Air Asia,2019-05-21,Delhi,Cochin,07:55:00,22:30:00,1,6152,875
IndiGo,2019-06-06,Kolkata,Banglore,17:15:00,19:50:00,0,4804,155
IndiGo,2019-06-27,Banglore,Delhi,06:05:00,08:50:00,0,3943,165
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,09:05:00,1,8452,765
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,0,5769,180
Air India,2019-05-06,Kolkata,Banglore,09:25:00,05:25:00,2,17732,1200
Multiple carriers,2019-05-27,Delhi,Cochin,11:40:00,19:15:00,1,9316,455
IndiGo,2019-05-01,Delhi,Cochin,07:30:00,21:00:00,1,8542,810
Multiple carriers,2019-03-21,Delhi,Cochin,11:30:00,21:00:00,1,13062,570
Air India,2019-04-09,Kolkata,Banglore,14:35:00,14:35:00,1,5006,1440
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,1,10844,365
Air India,2019-06-09,Delhi,Cochin,22:00:00,19:15:00,2,10441,1275
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1,12681,1430
SpiceJet,2019-03-01,Kolkata,Banglore,17:15:00,19:45:00,0,5515,150
Multiple carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,1,13587,570
Air India,2019-05-01,Mumbai,Hyderabad,19:30:00,20:45:00,0,3100,75
IndiGo,2019-04-21,Banglore,Delhi,18:55:00,21:50:00,0,4823,175
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,2,12488,1485
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,1,9899,345
Air India,2019-06-21,Delhi,Cochin,14:10:00,17:10:00,0,5201,180
Multiple carriers,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,1,14533,375
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00:00,1,10539,1295
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,1,14714,395
IndiGo,2019-03-21,Delhi,Cochin,09:10:00,21:00:00,1,8285,710
IndiGo,2019-03-27,Kolkata,Banglore,22:10:00,00:55:00,0,4148,165
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,19:40:00,1,13339,790
Jet Airways,2019-06-06,Delhi,Cochin,20:00:00,04:25:00,2,15318,505
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,08:15:00,1,14781,665
Air India,2019-06-24,Delhi,Cochin,10:00:00,19:15:00,1,9194,555
Air India,2019-06-09,Delhi,Cochin,09:45:00,23:00:00,1,8907,795
Multiple carriers,2019-06-12,Delhi,Cochin,10:00:00,19:00:00,1,12192,540
Multiple carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,1,8614,705
Vistara,2019-05-21,Banglore,Delhi,09:45:00,12:35:00,0,4668,170
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,1,12898,940
Vistara,2019-03-09,Delhi,Cochin,14:55:00,17:50:00,0,6741,175
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,1,13626,590
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,09:45:00,1,13067,800
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,1,11848,660
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,23:35:00,1,10844,1655
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,2,11774,1210
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,19:10:00,1,14151,1570
IndiGo,2019-03-01,Mumbai,Hyderabad,16:55:00,18:25:00,0,8853,90
IndiGo,2019-04-01,Banglore,Delhi,13:00:00,15:50:00,0,4591,170
Jet Airways,2019-03-18,Banglore,Delhi,16:55:00,05:05:00,1,11087,730
Multiple carriers,2019-06-27,Delhi,Cochin,09:15:00,19:15:00,1,8099,600
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,0,8016,175
SpiceJet,2019-03-15,Banglore,Delhi,05:45:00,08:35:00,0,5575,170
Jet Airways,2019-06-12,Delhi,Cochin,06:45:00,04:25:00,2,10919,1300
SpiceJet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,0,2753,90
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,08:15:00,1,14815,1400
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,04:25:00,1,19828,1015
Air India,2019-03-01,Banglore,Delhi,17:00:00,19:45:00,0,25913,165
IndiGo,2019-06-21,Mumbai,Hyderabad,16:55:00,18:25:00,0,4392,90
SpiceJet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,0,3841,145
Vistara,2019-03-24,Banglore,Delhi,09:50:00,12:35:00,0,6138,165
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1,13067,1730
Jet Airways,2019-03-21,Banglore,Delhi,11:40:00,10:25:00,1,7832,1365
SpiceJet,2019-05-09,Kolkata,Banglore,09:00:00,11:25:00,0,3841,145
Air India,2019-05-01,Kolkata,Banglore,09:10:00,21:50:00,2,12009,760
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,1,5608,435
Multiple carriers,2019-06-24,Delhi,Cochin,08:30:00,19:15:00,1,7354,645
IndiGo,2019-05-06,Banglore,Delhi,21:15:00,00:15:00,0,3943,180
IndiGo,2019-04-15,Delhi,Cochin,06:50:00,16:10:00,1,6442,560
Air India,2019-05-09,Delhi,Cochin,09:45:00,23:00:00,1,7174,795
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,0,5674,180
GoAir,2019-05-18,Banglore,Delhi,11:40:00,14:30:00,0,4340,170
Jet Airways,2019-04-21,Banglore,Delhi,08:20:00,11:20:00,0,7229,180
Vistara,2019-03-09,Banglore,Delhi,11:30:00,14:10:00,0,7240,160
GoAir,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,1,5135,540
Air India,2019-03-09,Banglore,Delhi,06:50:00,23:10:00,1,5626,980
Jet Airways,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,2,18804,440
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,12:00:00,1,14388,330
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,1,8452,965
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,14:25:00,1,12692,1730
Air India,2019-03-06,Delhi,Cochin,23:00:00,07:40:00,1,14777,520
IndiGo,2019-03-03,Delhi,Cochin,06:40:00,12:00:00,1,9304,320
IndiGo,2019-06-01,Delhi,Cochin,17:05:00,22:25:00,1,7060,320
Air India,2019-06-15,Banglore,Delhi,21:05:00,23:55:00,0,5228,170
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,2,8834,1420
IndiGo,2019-05-18,Kolkata,Banglore,15:15:00,20:05:00,1,4775,290
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,1,9187,865
Multiple carriers,2019-06-06,Delhi,Cochin,14:00:00,21:00:00,1,13587,420
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,1,14571,590
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,2,10151,590
IndiGo,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,1,6104,480
IndiGo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,1,6794,895
Air India,2019-05-09,Kolkata,Banglore,16:45:00,08:55:00,2,13227,970
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,1,14781,425
Multiple carriers,2019-06-06,Delhi,Cochin,08:45:00,21:00:00,1,7740,735
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,04:40:00,1,13941,1215
SpiceJet,2019-03-27,Mumbai,Hyderabad,22:45:00,00:10:00,0,1759,85
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,0,4544,180
IndiGo,2019-03-01,Mumbai,Hyderabad,06:20:00,07:45:00,0,17501,85
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,09:20:00,1,8529,1155
IndiGo,2019-04-01,Banglore,Delhi,08:30:00,11:20:00,0,4823,170
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,04:25:00,2,10368,535
